UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
RN,Acari,24,24,220,541
RN,Açu,188,179,1461,1728
RN,Afonso Bezerra,17,11,129,170
RN,Água Nova,1,1,33,49
RN,Alexandria,18,27,246,275
RN,Almino Afonso,9,11,60,93
RN,Alto do Rodrigues,50,43,316,410
RN,Angicos,28,25,324,398
RN,Antônio Martins,3,2,69,60
RN,Apodi,71,73,773,964
RN,Areia Branca,102,34,529,791
RN,Arês,16,10,113,341
RN,Augusto Severo,8,55,87,127
RN,Baía Formosa,26,13,174,406
RN,Baraúna,99,58,470,412
RN,Barcelona,3,4,31,75
RN,Bento Fernandes,3,2,37,67
RN,Bodó,19,4,13,49
RN,Bom Jesus,9,13,123,370
RN,Brejinho,18,20,167,335
RN,Caiçara do Norte,12,6,61,144
RN,Caiçara do Rio do Vento,18,3,48,55
RN,Caicó,232,209,1846,3269
RN,Campo Redondo,8,9,106,197
RN,Canguaretama,54,60,503,777
RN,Caraúbas,37,38,301,473
RN,Carnaúba dos Dantas,11,40,209,406
RN,Carnaubais,15,23,134,198
RN,Ceará-Mirim,177,203,1132,2012
RN,Cerro Corá,23,14,173,363
RN,Coronel Ezequiel,4,3,31,119
RN,Coronel João Pessoa,1,2,26,58
RN,Cruzeta,12,18,151,345
RN,Currais Novos,167,167,1161,1918
RN,Doutor Severiano,2,5,48,88
RN,Encanto,3,3,44,93
RN,Equador,19,10,91,233
RN,Espírito Santo (território),106,4,67,143
RN,Extremoz,482,153,933,2556
RN,Felipe Guerra,4,11,102,154
RN,Fernando Pedroza,12,4,47,66
RN,Florânia,6,15,144,341
RN,Francisco Dantas,0,3,25,22
RN,Frutuoso Gomes,2,8,55,57
RN,Galinhos,15,8,37,124
RN,Goianinha,65,57,540,1010
RN,Governador Dix-Sept Rosado,19,15,149,168
RN,Grossos,25,21,185,283
RN,Guamaré,79,28,340,716
RN,Ielmo Marinho,9,9,58,113
RN,Ipanguaçu,18,17,246,210
RN,Ipueira,2,0,22,74
RN,Itajá,12,14,148,185
RN,Itaú,9,9,92,118
RN,Jaçanã,4,5,107,216
