UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
AL,Água Branca,16,11,115,190
AL,Anadia,21,18,163,209
AL,Arapiraca,876,1276,5864,9765
AL,Atalaia,65,58,425,768
AL,Barra de Santo Antônio,28,41,200,413
AL,Barra de São Miguel,69,72,213,402
AL,Batalha,32,58,248,290
AL,Belém,7,7,52,79
AL,Belo Monte,12,8,27,71
AL,Boca da Mata,18,43,317,621
AL,Branquinha,3,3,69,107
AL,Cacimbinhas,10,11,111,179
AL,Cajueiro,24,20,211,405
AL,Campestre,2,14,48,96
AL,Campo Alegre,47,35,378,1114
AL,Campo Grande,20,7,84,78
AL,Canapi,7,14,122,106
AL,Capela,21,23,161,374
AL,Carneiros,7,10,48,117
AL,Chã Preta,14,8,51,92
AL,Coité do Nóia,14,14,97,110
AL,Colônia Leopoldina,18,67,124,326
AL,Coqueiro Seco,6,7,49,193
AL,Coruripe,110,118,740,1658
AL,Craíbas,27,38,253,312
AL,Delmiro Gouveia,115,120,941,1601
AL,Dois Riachos,7,4,92,163
AL,Estrela de Alagoas,5,7,120,144
AL,Feira Grande,24,38,126,222
AL,Feliz Deserto,7,14,52,121
AL,Flexeiras,15,7,75,213
AL,Girau do Ponciano,43,53,256,456
AL,Ibateguara,9,20,155,249
AL,Igaci,14,19,185,248
AL,Igreja Nova,25,14,144,177
AL,Inhapi,6,7,105,164
AL,Jacaré dos Homens,8,4,33,58
AL,Jacuípe,5,5,40,52
AL,Japaratinga,13,26,205,241
AL,Jaramataia,9,4,32,49
AL,Jequiá da Praia,7,9,79,376
AL,Joaquim Gomes,14,18,151,337
AL,Jundiá,3,7,35,73
AL,Junqueiro,30,40,340,544
AL,Lagoa da Canoa,13,23,163,225
AL,Limoeiro de Anadia,30,41,221,379
AL,Maceió,6191,6713,26146,54549
AL,Major Isidoro,27,65,175,231
AL,Mar Vermelho,7,6,32,64
AL,Maragogi,64,84,828,1422
AL,Maravilha,8,6,81,126
AL,Marechal Deodoro,218,276,1291,2518
AL,Maribondo,22,18,187,333
AL,Mata Grande,15,18,126,179
AL,Matriz de Camaragibe,20,62,342,496
AL,Messias,31,32,232,370
AL,Minador do Negrão,8,4,48,71
AL,Monteirópolis,6,11,35,98
AL,Murici,53,47,320,494
AL,Novo Lino,6,41,91,147
AL,Olho d´Água das Flores,39,44,386,675
AL,Olho d´Água do Casado,3,12,91,113
AL,Olho d´Água Grande,4,2,23,19
AL,Olivença,5,11,63,117
AL,Ouro Branco,6,11,132,231
AL,Palestina,2,4,43,75
AL,Palmeira dos Índios,159,113,1290,1828
AL,Pão de Açúcar,20,18,232,518
AL,Pariconha,2,6,68,137
AL,Paripueira,30,79,290,500
AL,Passo de Camaragibe,19,50,141,352
AL,Paulo Jacinto,3,6,59,149
AL,Penedo,129,103,1036,2918
AL,Piaçabuçu,18,20,220,227
AL,Pilar,107,55,632,1176
AL,Pindoba,3,0,12,41
AL,Piranhas,35,46,392,489
AL,Poço das Trincheiras,3,3,66,112
AL,Porto Calvo,45,53,426,587
AL,Porto de Pedras,33,44,190,304
AL,Porto Real do Colégio,25,15,132,202
AL,Quebrangulo,13,8,87,223
AL,Rio Largo,228,208,1123,3451
AL,Roteiro,5,13,60,115
AL,Santa Luzia do Norte,13,16,66,223
AL,Santana do Ipanema,99,97,703,1117
AL,Santana do Mundaú,11,7,97,134
AL,São Brás,10,7,27,73
AL,São José da Laje,16,34,246,753
AL,São José da Tapera,24,47,291,367
AL,São Luís do Quitunde,27,29,335,530
AL,São Miguel dos Campos,136,129,998,1834
AL,São Miguel dos Milagres,18,53,250,479
AL,São Sebastião,52,49,392,567
AL,Satuba,22,53,331,1086
AL,Senador Rui Palmeira,5,3,60,116
AL,Tanque d´Arca,7,8,42,79
AL,Taquarana,23,23,246,327
AL,Teotônio Vilela,75,102,522,847
AL,Traipu,16,10,100,303
AL,União dos Palmares,99,112,859,2458
AL,Viçosa,48,56,324,659
BA,Totais,52225,44026,360317,589238
BA,Abaíra,7,13,120,174
BA,Abaré,17,20,184,232
BA,Acajutiba,12,17,170,321
BA,Adustina,15,16,157,150
BA,Água Fria,13,18,195,278
BA,Aiquara,3,4,76,66
BA,Alagoinhas,462,338,4005,5748
BA,Alcobaça,35,43,359,659
BA,Almadina,7,1,64,129
BA,Amargosa,65,72,699,1454
BA,Amélia Rodrigues,69,63,327,962
BA,América Dourada,16,13,165,153
BA,Anagé,24,52,287,251
BA,Andaraí,24,13,204,310
BA,Andorinha,15,38,193,280
BA,Angical,21,24,204,122
BA,Anguera,11,11,93,114
BA,Antas,10,13,166,153
BA,Antônio Cardoso,8,14,69,86
BA,Antônio Gonçalves,10,30,136,199
BA,Aporá,10,9,177,260
BA,Apuarema,6,14,80,132
BA,Araçás,24,19,192,273
BA,Aracatu,17,19,172,214
BA,Araci,40,73,832,660
BA,Aramari,13,15,137,236
BA,Arataca,6,2,67,124
BA,Aratuípe,2,2,88,188
BA,Aurelino Leal,8,11,104,276
BA,Baianópolis,24,15,192,202
BA,Baixa Grande,24,19,334,382
BA,Banzaê,6,7,150,144
