,UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
0,AL,Água Branca,16,11,115,190
1,AL,Anadia,21,18,163,209
2,AL,Arapiraca,876,1276,5864,9765
3,AL,Atalaia,65,58,425,768
4,AL,Barra de Santo Antônio,28,41,200,413
5,AL,Barra de São Miguel,69,72,213,402
6,AL,Batalha,32,58,248,290
7,AL,Belém,7,7,52,79
8,AL,Belo Monte,12,8,27,71
9,AL,Boca da Mata,18,43,317,621
10,AL,Branquinha,3,3,69,107
11,AL,Cacimbinhas,10,11,111,179
12,AL,Cajueiro,24,20,211,405
13,AL,Campestre,2,14,48,96
14,AL,Campo Alegre,47,35,378,1114
15,AL,Campo Grande,20,7,84,78
16,AL,Canapi,7,14,122,106
17,AL,Capela,21,23,161,374
18,AL,Carneiros,7,10,48,117
19,AL,Chã Preta,14,8,51,92
20,AL,Coité do Nóia,14,14,97,110
21,AL,Colônia Leopoldina,18,67,124,326
22,AL,Coqueiro Seco,6,7,49,193
23,AL,Coruripe,110,118,740,1658
24,AL,Craíbas,27,38,253,312
25,AL,Delmiro Gouveia,115,120,941,1601
26,AL,Dois Riachos,7,4,92,163
27,AL,Estrela de Alagoas,5,7,120,144
28,AL,Feira Grande,24,38,126,222
29,AL,Feliz Deserto,7,14,52,121
30,AL,Flexeiras,15,7,75,213
31,AL,Girau do Ponciano,43,53,256,456
32,AL,Ibateguara,9,20,155,249
33,AL,Igaci,14,19,185,248
34,AL,Igreja Nova,25,14,144,177
35,AL,Inhapi,6,7,105,164
36,AL,Jacaré dos Homens,8,4,33,58
37,AL,Jacuípe,5,5,40,52
38,AL,Japaratinga,13,26,205,241
39,AL,Jaramataia,9,4,32,49
40,AL,Jequiá da Praia,7,9,79,376
41,AL,Joaquim Gomes,14,18,151,337
42,AL,Jundiá,3,7,35,73
43,AL,Junqueiro,30,40,340,544
44,AL,Lagoa da Canoa,13,23,163,225
45,AL,Limoeiro de Anadia,30,41,221,379
46,AL,Maceió,6191,6713,26146,54549
47,AL,Major Isidoro,27,65,175,231
48,AL,Mar Vermelho,7,6,32,64
49,AL,Maragogi,64,84,828,1422
50,AL,Maravilha,8,6,81,126
51,AL,Marechal Deodoro,218,276,1291,2518
52,AL,Maribondo,22,18,187,333
53,AL,Mata Grande,15,18,126,179
54,AL,Matriz de Camaragibe,20,62,342,496
55,AL,Messias,31,32,232,370
56,AL,Minador do Negrão,8,4,48,71
57,AL,Monteirópolis,6,11,35,98
58,AL,Murici,53,47,320,494
59,AL,Novo Lino,6,41,91,147
60,AL,Olho d´Água das Flores,39,44,386,675
61,AL,Olho d´Água do Casado,3,12,91,113
62,AL,Olho d´Água Grande,4,2,23,19
63,AL,Olivença,5,11,63,117
64,AL,Ouro Branco,6,11,132,231
65,AL,Palestina,2,4,43,75
66,AL,Palmeira dos Índios,159,113,1290,1828
67,AL,Pão de Açúcar,20,18,232,518
68,AL,Pariconha,2,6,68,137
69,AL,Paripueira,30,79,290,500
70,AL,Passo de Camaragibe,19,50,141,352
71,AL,Paulo Jacinto,3,6,59,149
72,AL,Penedo,129,103,1036,2918
73,AL,Piaçabuçu,18,20,220,227
74,AL,Pilar,107,55,632,1176
75,AL,Pindoba,3,0,12,41
76,AL,Piranhas,35,46,392,489
77,AL,Poço das Trincheiras,3,3,66,112
78,AL,Porto Calvo,45,53,426,587
79,AL,Porto de Pedras,33,44,190,304
80,AL,Porto Real do Colégio,25,15,132,202
81,AL,Quebrangulo,13,8,87,223
82,AL,Rio Largo,228,208,1123,3451
83,AL,Roteiro,5,13,60,115
84,AL,Santa Luzia do Norte,13,16,66,223
85,AL,Santana do Ipanema,99,97,703,1117
86,AL,Santana do Mundaú,11,7,97,134
87,AL,São Brás,10,7,27,73
88,AL,São José da Laje,16,34,246,753
89,AL,São José da Tapera,24,47,291,367
90,AL,São Luís do Quitunde,27,29,335,530
91,AL,São Miguel dos Campos,136,129,998,1834
92,AL,São Miguel dos Milagres,18,53,250,479
93,AL,São Sebastião,52,49,392,567
94,AL,Satuba,22,53,331,1086
95,AL,Senador Rui Palmeira,5,3,60,116
96,AL,Tanque d´Arca,7,8,42,79
97,AL,Taquarana,23,23,246,327
98,AL,Teotônio Vilela,75,102,522,847
99,AL,Traipu,16,10,100,303
100,AL,União dos Palmares,99,112,859,2458
101,AL,Viçosa,48,56,324,659
102,BA,Totais,52225,44026,360317,589238
103,BA,Abaíra,7,13,120,174
104,BA,Abaré,17,20,184,232
105,BA,Acajutiba,12,17,170,321
106,BA,Adustina,15,16,157,150
107,BA,Água Fria,13,18,195,278
108,BA,Aiquara,3,4,76,66
109,BA,Alagoinhas,462,338,4005,5748
110,BA,Alcobaça,35,43,359,659
111,BA,Almadina,7,1,64,129
112,BA,Amargosa,65,72,699,1454
113,BA,Amélia Rodrigues,69,63,327,962
114,BA,América Dourada,16,13,165,153
115,BA,Anagé,24,52,287,251
116,BA,Andaraí,24,13,204,310
117,BA,Andorinha,15,38,193,280
118,BA,Angical,21,24,204,122
119,BA,Anguera,11,11,93,114
120,BA,Antas,10,13,166,153
121,BA,Antônio Cardoso,8,14,69,86
122,BA,Antônio Gonçalves,10,30,136,199
123,BA,Aporá,10,9,177,260
124,BA,Apuarema,6,14,80,132
125,BA,Araçás,24,19,192,273
126,BA,Aracatu,17,19,172,214
127,BA,Araci,40,73,832,660
128,BA,Aramari,13,15,137,236
129,BA,Arataca,6,2,67,124
130,BA,Aratuípe,2,2,88,188
131,BA,Aurelino Leal,8,11,104,276
132,BA,Baianópolis,24,15,192,202
133,BA,Baixa Grande,24,19,334,382
134,BA,Banzaê,6,7,150,144
135,BA,Barra,72,40,564,944
136,BA,Barra da Estiva,51,59,985,842
137,BA,Barra do Choça,55,59,773,1115
138,BA,Barra do Mendes,17,12,187,223
139,BA,Barra do Rocha,6,8,58,106
140,BA,Barreiras,1114,783,6582,7176
141,BA,Barro Alto,3,10,132,181
142,BA,Barro Preto,7,2,67,138
143,BA,Barrocas,18,22,267,305
144,BA,Belmonte,48,23,353,557
145,BA,Belo Campo,14,30,217,455
146,BA,Biritinga,7,22,141,132
147,BA,Boa Nova,4,14,113,316
148,BA,Boa Vista do Tupim,19,18,139,209
149,BA,Bom Jesus da Lapa,240,166,1726,1684
150,BA,Bom Jesus da Serra,2,7,71,209
151,BA,Boninal,22,16,151,255
152,BA,Bonito,29,21,234,203
153,BA,Boquira,19,29,256,307
154,BA,Botuporã,11,8,158,168
155,BA,Brejões,18,11,209,261
156,BA,Brejolândia,10,8,104,80
157,BA,Brotas de Macaúbas,32,15,160,196
158,BA,Brumado,253,345,2466,3062
159,BA,Buerarema,16,24,239,628
160,BA,Buritirama,12,13,228,221
161,BA,Caatiba,6,7,69,166
162,BA,Cabaceiras do Paraguaçu,14,26,169,282
163,BA,Cachoeira,47,73,531,817
164,BA,Caculé,57,65,803,1264
165,BA,Caém,9,5,133,217
166,BA,Caetanos,5,22,91,219
167,BA,Caetité,205,179,1418,1685
168,BA,Cafarnaum,24,20,373,203
169,BA,Cairu,61,98,921,946
170,BA,Caldeirão Grande,6,12,157,168
171,BA,Camacan,55,42,545,824
172,BA,Camaçari,1640,807,7930,16913
173,BA,Camamu,65,75,605,1014
174,BA,Campo Alegre de Lourdes,28,90,429,414
175,BA,Campo Formoso,151,214,1258,1509
176,BA,Canápolis,3,5,112,110
177,BA,Canarana,22,45,370,289
178,BA,Canavieiras,57,37,685,1210
179,BA,Candeal,3,3,70,142
180,BA,Candeias,389,194,2018,2387
181,BA,Candiba,15,30,169,285
182,BA,Cândido Sales,26,41,328,889
183,BA,Cansanção,33,67,513,524
184,BA,Canudos,28,37,210,220
185,BA,Capela do Alto Alegre,10,17,161,284
186,BA,Capim Grosso,102,154,1120,1591
187,BA,Caraíbas,8,11,89,195
188,BA,Caravelas,37,25,255,564
189,BA,Cardeal da Silva,7,3,142,137
190,BA,Carinhanha,21,19,330,532
191,BA,Casa Nova,125,126,800,999
192,BA,Castro Alves,54,66,365,1384
193,BA,Catolândia,7,7,73,19
194,BA,Catu,258,149,1123,1565
195,BA,Caturama,11,10,83,95
196,BA,Central,27,12,180,175
197,BA,Chorrochó,5,23,104,108
198,BA,Cícero Dantas,47,67,578,775
199,BA,Cipó,18,31,291,428
200,BA,Coaraci,36,15,330,672
201,BA,Cocos,74,20,319,305
202,BA,Conceição da Feira,35,47,425,540
203,BA,Conceição do Almeida,21,33,217,477
204,BA,Conceição do Coité,120,195,1380,2845
205,BA,Conceição do Jacuípe,406,249,2096,1686
206,BA,Conde,32,26,409,591
207,BA,Condeúba,19,78,203,603
208,BA,Contendas do Sincorá,5,15,59,98
209,BA,Coração de Maria,49,76,432,654
210,BA,Cordeiros,2,17,107,200
211,BA,Coribe,17,14,240,148
212,BA,Coronel João Sá,7,22,166,200
213,BA,Correntina,255,90,772,812
